Probe	E14.5_R1	E14.5_R2	Neonatal_R1	Neonatal_R2	Adult_R1	Adult_R2	TAC_R1	TAC_R2
Xkr4	229	363	545	417	133	96	280	219
Gm1992	0	3	0	0	0	0	1	0
Rp1	3	5	4	26	48	73	7	10
Sox17	206	195	285	226	51	44	53	57
AC129937.1	0	3	0	2	0	0	0	0
Mrpl15	597	599	468	480	318	316	389	347
Lypla1	3259	3553	2305	2722	1344	1408	1737	1746
Gm6104	23	20	11	8	6	3	14	9
Rgs20	20	34	45	36	13	5	12	4
Gm16041	8	11	8	12	3	2	2	1
Atp6v1h	1796	2291	2594	3126	700	639	1018	998
Oprk1	6	5	1	1	0	0	1	0
AC103663.1	0	0	0	0	0	0	0	0
Npbwr1	0	0	0	0	0	0	0	0
Rb1cc1	3917	4424	3615	4882	2389	2517	2753	2400
Fam150a	7	9	23	6	0	0	0	0
St18	32	65	71	37	4	5	13	17
Pcmtd1	1395	1529	2064	2502	1872	1958	2113	1897
Gm9826	3	3	1	0	0	0	1	1
Sntg1	77	116	76	91	39	57	52	39
AC163389.1	0	0	0	0	0	0	0	0
Rrs1	238	275	183	204	116	133	131	127
Adhfe1	146	132	366	409	828	1011	562	576
2610203C22Rik	50	49	460	158	190	132	243	256
3110035E14Rik	7	10	41	7	8	1	12	8
Mybl1	399	440	434	495	34	18	167	114
Vcpip1	1317	1439	1185	1472	558	578	776	733
Sgk3	506	583	756	951	587	518	642	668
Gm6195	0	0	0	0	0	0	0	0
6030422M02Rik	35	54	64	52	13	24	18	14
Snord87	13	25	9	10	7	7	7	8
Gm10567	15	19	20	12	1	2	10	5
Ppp1r42	8	20	27	14	6	4	4	5
Gm15818	1	0	0	0	0	0	0	0
AC102570.1	0	0	0	0	0	0	0	0
Cops5	1114	1081	739	920	591	637	766	732
Cspp1	2008	2337	1938	2356	479	475	651	704
Arfgef1	3553	4954	4094	4721	2704	2654	2905	2843
Cpa6	69	109	84	79	34	36	52	45
Prex2	1848	2292	4322	3821	1864	1705	1813	1975
A830018L16Rik	56	63	51	56	8	6	14	5
AC161927.1	0	2	3	2	0	0	1	1
Sulf1	1478	1607	2637	1834	1126	908	1295	1521
Slco5a1	555	842	415	466	796	808	694	597
Dppa5b	0	0	0	0	0	0	0	0
Prdm14	10	14	20	8	0	0	0	0
Ncoa2	3569	4941	4750	5651	2154	2104	2333	2303
Tram1	2069	2130	1181	1227	488	479	714	706
Lactb2	338	344	454	462	546	580	598	603
Xkr9	0	1	9	3	0	0	0	0
Eya1	275	406	128	255	81	118	102	77
AC156988.1	0	0	0	0	0	0	0	0
Msc	14	23	46	36	8	12	9	15
Gm9947	0	1	7	5	2	0	2	4
Trpa1	33	28	3	3	0	2	2	1
Gm10566	7	5	1	4	2	4	4	8
Kcnb2	262	414	181	192	56	56	65	53
Terf1	843	998	727	828	227	228	295	277
Gm106	5	10	11	4	0	1	5	5
4930444P10Rik	42	39	94	44	27	37	48	37
